eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
486,Had,Dstarstar_res,NoTau,NoTau
487,Had,Dstarl,NoTau,NoTau
488,Had,Dstarstar_nonres,NoTau,NoTau
489,Dtau,Had,tau_e,NoTau
490,Dstarl,Had,NoTau,NoTau
491,Had,Dstarl,NoTau,NoTau
492,Dstarl,Dstarstar_res,NoTau,NoTau
493,Had,Dl,NoTau,NoTau
494,Had,Had,NoTau,NoTau
495,Dstarstar_res,Dstarl,NoTau,NoTau
496,Had,Had,NoTau,NoTau
497,Dstarl,Dl,NoTau,NoTau
498,Dstarl,Had,NoTau,NoTau
499,Had,Dstarl,NoTau,NoTau
500,Dl,Had,NoTau,NoTau
501,Had,Dstarl,NoTau,NoTau
502,Dstarl,Dstarl,NoTau,NoTau
503,Dl,Had,NoTau,NoTau
504,Dstarl,Dstarl,NoTau,NoTau
505,Had,Dl,NoTau,NoTau
506,Dstarl,Dstarstar_res,NoTau,NoTau
507,Dl,Had,NoTau,NoTau
508,Had,Dstarstar_res,NoTau,NoTau
509,Dstarstar_nonres,Dstarl,NoTau,NoTau
510,Dstarstar_nonres,Had,NoTau,NoTau
511,Dl,Dstarl,NoTau,NoTau
512,Had,Dstarstar_res,NoTau,NoTau
513,Had,Dstarl,NoTau,NoTau
514,Dstarl,Dstarstar_res,NoTau,tau_h
515,Dstarstar_nonres,Had,NoTau,NoTau
516,Had,Dstarl,NoTau,NoTau
517,Had,Dstarstar_res,NoTau,NoTau
518,Dstarl,Had,NoTau,NoTau
519,Dstarl,Had,NoTau,NoTau
520,Had,Dstarl,NoTau,NoTau
521,Dstarl,Dl,NoTau,NoTau
522,Dstarl,Had,NoTau,NoTau
523,Had,Dstarl,NoTau,NoTau
524,Dstarl,Dstarstar_res,NoTau,NoTau
525,Dl,Had,NoTau,NoTau
526,Dstarl,Dstarl,NoTau,NoTau
527,Had,Dstarl,NoTau,NoTau
528,Dstarstar_res,Had,NoTau,NoTau
529,Dstarl,Had,NoTau,NoTau
530,Had,Dl,NoTau,NoTau
531,Had,Dstarstar_nonres,NoTau,NoTau
532,Dstarstar_res,Dstarstar_res,NoTau,NoTau
533,Dstarl,Dstarl,NoTau,NoTau
534,Dl,Dstarstar_res,NoTau,NoTau
535,Dstarstar_res,Had,NoTau,NoTau
536,Had,Dl,NoTau,NoTau
537,Dtau,Had,tau_h,NoTau
538,Had,Dstarl,NoTau,NoTau
539,Had,Had,NoTau,NoTau
540,Dstarl,Had,NoTau,NoTau
541,Dstarl,Dstarl,NoTau,NoTau
542,Dstartau,Dstarstar_nonres,tau_mu,NoTau
543,Had,Dstarl,NoTau,NoTau
544,Dstarstar_res,Dstarstar_res,NoTau,NoTau
545,Had,Had,NoTau,NoTau
546,Dstarstar_res,Dl,NoTau,NoTau
547,Dstarl,Dstarl,NoTau,NoTau
548,Dl,Dstarl,NoTau,NoTau
549,Dstartau,Dstarstar_res,tau_e,NoTau
550,Had,Dstarstar_nonres,NoTau,NoTau
551,Dstarl,Dstarl,NoTau,NoTau
552,Dl,Dstarl,NoTau,NoTau
553,Dstarl,Had,NoTau,NoTau
